# collection	id	category	start_year	end_year	years_before_present	approximate	wikidata_search	image_id
core	cosmic_microwave_background	cosmic			13799620000	true	cosmic microwave background	
core	first_stars	cosmic			13600000000	true	first stars	
core	milky_way_formation	cosmic			13500000000	true	Milky Way formation	
core	solar_system_formation	cosmic			4567000000	true	formation and evolution of the Solar System	
core	moon_formation	cosmic			4510000000	true	origin of the Moon	
core	oldest_known_zircons	earth			4404000000	true	Jack Hills zircon	
core	early_earth_oceans	earth			4400000000	true	origin of water on Earth	
core	oxygenic_photosynthesis	earth			2700000000	true	oxygenic photosynthesis	
core	huronian_glaciation	earth			2400000000	true	Huronian glaciation	
core	first_multicellular_life	earth			1600000000	true	multicellular organism	
core	cryogenian_snowball_earth	earth			720000000	true	Snowball Earth	
core	ediacaran_biota	earth			575000000	true	Ediacaran biota	
core	ordovician_radiation	earth			485000000	true	Great Ordovician Biodiversification Event	
core	first_land_arthropods	earth			450000000	true	colonization of land	
core	first_forests	earth			385000000	true	first forest	
core	permian_triassic_extinction	earth			251900000	true	Permian-Triassic extinction event	
core	first_mammals	earth			225000000	true	evolution of mammals	
core	first_birds	earth			150000000	true	origin of birds	
core	flowering_plants_emerge	earth			140000000	true	evolutionary history of plants	
core	paleocene_eocene_thermal_maximum	earth			56000000	true	Paleocene-Eocene Thermal Maximum	
core	first_primates	earth			55000000	true	evolution of primates	
core	great_american_interchange	earth			3000000	true	Great American Interchange	
core	quaternary_glaciation	earth			2580000	true	Quaternary glaciation	
core	younger_dryas	earth			12900	true	Younger Dryas	
core	holocene_begins	earth	-9700	-9700		true	Holocene	
core	african_humid_period	earth	-9000	-3000		true	African humid period	
core	eight_two_kiloyear_event	earth	-6200	-6200		true	8.2-kiloyear event	
core	minoan_eruption	earth	-1600	-1600		true	Minoan eruption	
core	sahelanthropus	human			7000000	true	Sahelanthropus	
core	ardipithecus_ramidus	human			4400000	true	Ardipithecus ramidus	
core	australopithecus_lucy	human			3200000	true	Lucy Australopithecus	
core	lomekwi_tools	human			3300000	true	Lomekwi	
core	homo_habilis	human			2400000	true	Homo habilis	
core	middle_stone_age	human			300000	true	Middle Stone Age	
core	levallois_technique	human			300000	true	Levallois technique	
core	denisovans	human			300000	true	Denisovan	
core	early_human_burials	human			100000	true	human burial	
core	prehistoric_ochre_use	human			100000	true	ochre use by humans	
core	bow_and_arrow	human			64000	true	bow and arrow	
core	neanderthal_sapiens_interbreeding	human			55000	true	interbreeding between archaic and modern humans	
core	first_bone_flutes	human			40000	true	Paleolithic flutes	
core	chauvet_cave_art	human			36000	true	Chauvet Cave	
core	venus_figurines	human			35000	true	Venus figurine	
core	sewing_needles	human			30000	true	sewing needle	
core	peopling_of_americas	human			16000	true	peopling of the Americas	
core	jomon_pottery	human			16000	true	Jomon pottery	
core	earliest_known_bread	human			14400	true	Shubayqa 1	
core	jericho_settlement	human			11000	true	Tell es-Sultan	
core	sheep_domestication	human			11000	true	domestic sheep	
core	cattle_domestication	human			10500	true	domestication of cattle	
core	maize_domestication	human			9000	true	domestication of maize	
core	copper_metallurgy	human			8500	true	copper metallurgy	
core	irrigation_agriculture	human			8000	true	irrigation	
core	uruk_period	civilization	-4000	-3100		true	Uruk period	
core	earliest_cuneiform	civilization	-3400	-3200		true	cuneiform	
core	stonehenge_construction	civilization	-3000	-2000		true	Stonehenge	
core	mesopotamian_city_ur	civilization	-2900	-2000		true	Ur	
core	code_of_ur_nammu	civilization	-2100	-2050		true	Code of Ur-Nammu	
core	epic_of_gilgamesh	civilization	-2100	-1200		true	Epic of Gilgamesh	
core	minoan_linear_a	civilization	-1800	-1450		true	Linear A	
core	hittite_empire	civilization	-1650	-1178		true	Hittite Empire	
core	vedic_period	civilization	-1500	-500		true	Vedic period	
core	mycenaean_linear_b	civilization	-1450	-1200		true	Linear B	
core	battle_of_kadesh	civilization	-1274	-1274		false	Battle of Kadesh	
core	egyptian_hittite_peace_treaty	civilization	-1259	-1259		true	Egyptian-Hittite peace treaty	
