# collection	id	category	start_year	end_year	approximate	title_zh	title_en	note_zh	note_en	wikidata_search	image_id
china	yuanmou_hominin	human	-1700000	-1700000	true	元谋人遗址	Yuanmou hominin site	遗址材料为中国境内早期人类活动研究提供了重要线索	The site provides important evidence for early human activity in China	Yuanmou Man	prehistoric
china	lantian_hominin	human	-630000	-630000	true	蓝田人	Lantian hominin	蓝田地区化石记录属于中国旧石器时代研究的重要材料	Fossil evidence from Lantian is important to research on the Chinese Paleolithic	Lantian Man	prehistoric
china	peking_man	human	-770000	-230000	true	北京猿人遗址	Peking Man sites	周口店遗址群保存了更新世人类化石与石器材料	The Zhoukoudian sites preserve Pleistocene human fossils and stone tools	Peking Man	prehistoric
china	upper_cave_zhoukoudian	human	-30000	-30000	true	周口店山顶洞人	Upper Cave at Zhoukoudian	山顶洞遗址反映了晚更新世人类生活与埋葬活动	The Upper Cave records late-Pleistocene human life and burial practices	Upper Cave Zhoukoudian	prehistoric
china	hemudu_culture	civilization	-5000	-3300	true	河姆渡文化	Hemudu culture	长江下游的新石器文化见证了稻作、木构建筑与聚落发展	This Neolithic culture documents rice cultivation, timber buildings, and settlement growth	Hemudu culture	neolithic
china	yangshao_culture	civilization	-5000	-3000	true	仰韶文化	Yangshao culture	黄河中游彩陶、聚落和农业遗存构成新石器时代的重要考古序列	Painted pottery, settlements, and farming remains form a major Neolithic sequence in the middle Yellow River	Yangshao culture	neolithic
china	hongshan_culture	civilization	-4700	-2200	true	红山文化	Hongshan culture	辽河流域遗址显示出复杂聚落与玉器礼仪传统	Sites in the Liao River basin show complex settlements and jade ritual traditions	Hongshan culture	neolithic
china	liangzhu_culture	civilization	-3300	-2300	true	良渚文化	Liangzhu culture	良渚遗址群呈现了稻作社会、城址和水利系统的综合发展	Liangzhu sites show the combined development of rice society, cities, and water management	Liangzhu culture	neolithic
china	longshan_culture	civilization	-3000	-1900	true	龙山文化	Longshan culture	龙山时期的城址、黑陶和社会分化为早期国家研究提供材料	Longshan-period cities, black pottery, and social differentiation inform research on early states	Longshan culture	neolithic
china	taosi_site	civilization	-2300	-1900	true	陶寺遗址	Taosi site	陶寺遗址包含大型聚落、礼仪遗存和社会分层证据	The Taosi site contains evidence of a large settlement, ritual activity, and social hierarchy	Taosi site	neolithic
china	erlitou_culture	civilization	-1900	-1500	true	二里头文化	Erlitou culture	二里头遗址群展示了青铜时代早期的城市与礼制线索	Erlitou sites show early Bronze Age urban and ritual developments	Erlitou culture	bronze_age
china	sanxingdui_culture	civilization	-1700	-1150	true	三星堆文化	Sanxingdui culture	三星堆祭祀坑出土的器物反映了古蜀地区独特的礼仪传统	Objects from Sanxingdui ritual pits reveal distinctive traditions in ancient Shu	Sanxingdui	bronze_age
china	silk_production_origins	science	-3000	-1500	true	早期丝绸生产	Early silk production	新石器至青铜时代遗址中的蚕桑与丝织证据显示了丝绸技术的早期发展	Silkworm and textile evidence shows the early development of silk technology	Silk production China	bronze_age
china	oracle_bone_writing	science	-1250	-1046	true	甲骨文	Oracle-bone script	商代卜辞是目前所知中国早期成熟文字系统的重要材料	Shang divinations are major evidence for an early mature Chinese writing system	Oracle bone script	shang_zhou
china	xia_dynasty_tradition	civilization	-2070	-1600	true	夏代传统纪年	Xia dynasty tradition	夏代的年代与范围仍需结合考古材料和传世文献审慎理解	The dates and extent of the Xia tradition require careful comparison of archaeology and texts	Xia dynasty	shang_zhou
china	shang_dynasty	civilization	-1600	-1046	true	商王朝	Shang dynasty	商代王权、青铜礼器和文字材料构成早期国家的重要证据	Shang kingship, bronze ritual objects, and writing are key evidence for an early state	Shang dynasty	shang_zhou
china	zhou_conquest_shang	civilization	-1046	-1046	true	周灭商	Zhou conquest of Shang	周人取代商王朝并形成了新的政治与礼制秩序	The Zhou replaced the Shang and established a new political and ritual order	Zhou conquest of Shang	shang_zhou
china	western_zhou	civilization	-1046	-771	true	西周	Western Zhou	西周时期形成了分封、宗法与礼乐传统的早期形态	The Western Zhou developed early forms of feudal, kinship, and ritual institutions	Western Zhou	shang_zhou
china	eastern_zhou	civilization	-770	-256	true	东周	Eastern Zhou	东周时期诸侯竞争与思想活动推动了政治和文化转型	Competition among states and intellectual activity drove political and cultural change	Eastern Zhou	shang_zhou
china	spring_autumn_period	civilization	-770	-476	true	春秋时期	Spring and Autumn period	诸侯争霸、礼制变化和区域交流塑造了春秋时代	Rivalry among states, changing institutions, and regional exchange shaped the period	Spring and Autumn period	shang_zhou
china	confucius	civilization	-551	-479	true	孔子活动时期	Confucius's lifetime	孔子的言行后来成为儒家经典传统的重要来源	Confucius's teachings later became a major source of the Confucian tradition	Confucius	shang_zhou
china	mozi_school	science	-470	-390	true	墨家学派	Mohist school	墨家讨论伦理、政治和技术问题，体现了先秦思想的多样性	Mohist discussions of ethics, politics, and technology show the diversity of pre-Qin thought	Mohism	shang_zhou
china	warring_states	civilization	-475	-221	true	战国时期	Warring States period	列国战争、变法和官僚制度发展最终促成秦的统一	Wars, reforms, and bureaucratic growth among the states preceded Qin unification	Warring States period	shang_zhou
