key,flag,zh,en
"toolbox.crypto.veracrypt.kdf.pbkdf2_sha512","ZH_NO_CJK+SAME_LONG","PBKDF2-SHA512","PBKDF2-SHA512"
"toolbox.crypto.veracrypt.kdf.pbkdf2_sha256","ZH_NO_CJK+SAME_LONG","PBKDF2-SHA256","PBKDF2-SHA256"
"toolbox.crypto.veracrypt.kdf.pbkdf2_whirlpool","ZH_NO_CJK+SAME_LONG","PBKDF2-Whirlpool","PBKDF2-Whirlpool"
"toolbox.crypto.veracrypt.kdf.pbkdf2_blake2s","ZH_NO_CJK+SAME_LONG","PBKDF2-BLAKE2s","PBKDF2-BLAKE2s"
"toolbox.crypto.veracrypt.kdf.pbkdf2_streebog","ZH_NO_CJK+SAME_LONG","PBKDF2-Streebog","PBKDF2-Streebog"
"toolbox.crypto.veracrypt.kdf.argon2id","ZH_NO_CJK","Argon2id","Argon2id"
"toolbox.crypto.veracrypt.cipher.aes","ZH_NO_CJK","AES","AES"
"toolbox.crypto.veracrypt.cipher.serpent","ZH_NO_CJK","Serpent","Serpent"
"toolbox.crypto.veracrypt.cipher.twofish","ZH_NO_CJK","Twofish","Twofish"
"toolbox.crypto.veracrypt.cipher.camellia","ZH_NO_CJK","Camellia","Camellia"
"toolbox.crypto.veracrypt.cipher.kuznyechik","ZH_NO_CJK","Kuznyechik","Kuznyechik"
"toolbox.crypto.veracrypt.cipher.aes_twofish","ZH_NO_CJK","AES-Twofish","AES-Twofish"
"toolbox.crypto.veracrypt.cipher.aes_twofish_serpent","ZH_NO_CJK+SAME_LONG","AES-Twofish-Serpent","AES-Twofish-Serpent"
"toolbox.crypto.veracrypt.cipher.serpent_aes","ZH_NO_CJK","Serpent-AES","Serpent-AES"
"toolbox.crypto.veracrypt.cipher.serpent_twofish_aes","ZH_NO_CJK+SAME_LONG","Serpent-Twofish-AES","Serpent-Twofish-AES"
"toolbox.crypto.veracrypt.cipher.twofish_serpent","ZH_NO_CJK+SAME_LONG","Twofish-Serpent","Twofish-Serpent"
"toolbox.crypto.veracrypt.cipher.camellia_kuznyechik","ZH_NO_CJK+SAME_LONG","Camellia-Kuznyechik","Camellia-Kuznyechik"
"toolbox.crypto.veracrypt.cipher.kuznyechik_twofish","ZH_NO_CJK+SAME_LONG","Kuznyechik-Twofish","Kuznyechik-Twofish"
"toolbox.crypto.veracrypt.cipher.camellia_serpent","ZH_NO_CJK+SAME_LONG","Camellia-Serpent","Camellia-Serpent"
