# id	category	years_before_present	display_key	title_key	detail_key	source_name	source_url
big_bang	cosmic	13800000000	inline.plan297.life.c_13_8_billion_years_ago.7be0c38b2237	inline.plan297.life.hot_big_bang_era_of_the_observable_universe.c44c3e48fccd	inline.plan297.life.modern_cosmology_places_the_hot_dense_early_stat.27acefcef07b	NASA Universe overview	https://science.nasa.gov/universe/
earth_forms	earth	4540000000	inline.plan297.life.c_4_54_billion_years_ago.3e92a42c6c11	inline.plan297.life.earth_forms.3a01ebc4fbb3	inline.plan297.life.radiometric_dating_and_meteorite_evidence_suppor.93da1e1fd6c3	USGS: How old is Earth?	https://www.usgs.gov/faqs/how-old-earth
first_life	earth	3500000000	inline.plan297.life.c_3_5_billion_years_ago.99b0f19ad58c	inline.plan297.life.early_evidence_of_life.16b7d9543020	inline.plan297.life.common_summaries_place_early_microbial_life_evid.cacd8f02b050	Smithsonian Human Origins Program	https://humanorigins.si.edu/
great_oxidation	earth	2400000000	inline.plan297.life.c_2_4_billion_years_ago.8c4881d27f07	inline.plan297.life.great_oxidation_event.226b180bfb05	inline.plan297.life.atmospheric_and_ocean_oxygen_rose_substantially_.226ae67d384d	NASA Astrobiology	https://astrobiology.nasa.gov/
eukaryotes	earth	1800000000	inline.plan297.life.c_1_8_billion_years_ago.48c555bca08a	inline.plan297.life.eukaryotes_appear.70f3a67d47ce	inline.plan297.life.nucleated_eukaryotic_cells_appeared_in_the_paleo.9d348e50d788	Encyclopaedia Britannica: eukaryote	https://www.britannica.com/science/eukaryote
cambrian	earth	538800000	inline.plan297.life.c_538_8_million_years_ago.ee736a11101d	inline.plan297.life.cambrian_period_begins.cd7c9d487e70	inline.plan297.life.the_ics_2024_12_chart_places_the_start_of_the_ca.a537b96554d9	International Commission on Stratigraphy	https://stratigraphy.org/chart
land_plants	earth	470000000	inline.plan297.life.c_470_million_years_ago.789ef2fe6dcb	inline.plan297.life.land_plants_spread.fbda3524b4fe	inline.plan297.life.plant_expansion_onto_land_laid_the_foundation_fo.f7c4870dc8df	Encyclopaedia Britannica: plant evolution	https://www.britannica.com/science/plant/Evolution-and-paleobotany
dinosaurs	earth	230000000	inline.plan297.life.c_230_million_years_ago.6cc6127f81da	inline.plan297.life.dinosaurs_appear.3b05c1158769	inline.plan297.life.dinosaurs_appeared_in_the_late_triassic_and_late.44b2ee700575	Natural History Museum	https://www.nhm.ac.uk/discover/when-did-dinosaurs-live.html
kpg_extinction	earth	66000000	inline.plan297.life.c_66_million_years_ago.8c21bacf1731	inline.plan297.life.cretaceous_paleogene_extinction.465c9ac92be9	inline.plan297.life.a_mass_extinction_ended_non_avian_dinosaurs_and_.41c5389d3c3d	USGS: Geologic time	https://www.usgs.gov/programs/national-geologic-map-database/geologic-time
homo_genus	human	2800000	inline.plan297.life.c_2_8_million_years_ago.2cc73ff3a938	inline.plan297.life.early_homo_fossil_record.9b85ece8428d	inline.plan297.life.early_homo_fossil_evidence_is_commonly_placed_ar.71989fcb7cc2	Smithsonian Human Origins Program	https://humanorigins.si.edu/evidence/human-fossils/species/homo-habilis
stone_tools	human	2600000	inline.plan297.life.c_2_6_million_years_ago.63eb23887f49	inline.plan297.life.oldowan_stone_tools.1bd3ae4fc95e	inline.plan297.life.oldowan_tools_are_a_classic_evidence_line_for_ea.5b34c867e6a8	Smithsonian: Stone tools	https://humanorigins.si.edu/evidence/behavior/stone-tools
homo_sapiens	human	300000	inline.plan297.life.c_300_000_years_ago.de7abada8a32	inline.plan297.life.homo_sapiens_appear.f5c862da7196	inline.plan297.life.current_fossil_and_genetic_evidence_commonly_pla.aa3c8989f502	Smithsonian: Homo sapiens	https://humanorigins.si.edu/evidence/human-fossils/species/homo-sapiens
last_glacial_maximum	human	26500	inline.plan297.life.c_26_500_years_ago.fe13320c5b27	inline.plan297.life.last_glacial_maximum.2e32264076e5	inline.plan297.life.ice_sheets_reached_near_maximum_extent_during_th.9a3e9b4a19da	NOAA Paleoclimatology	https://www.ncei.noaa.gov/products/paleoclimatology
agriculture	civilization	12000	inline.plan297.life.c_10_000_bce.1d96609e49ed	inline.plan297.life.agriculture_and_neolithic_transition.fbd60f7f2490	inline.plan297.life.plant_and_animal_domestication_developed_in_mult.c1f342554684	Britannica: Neolithic Revolution	https://www.britannica.com/event/Neolithic-Revolution
bronze_age	civilization	5300	inline.plan297.life.c_3300_bce.69daaba38d63	inline.plan297.life.early_bronze_age.e86493ece9bf	inline.plan297.life.bronze_metallurgy_and_complex_urban_societies_de.a861cffe8c17	Britannica: Bronze Age	https://www.britannica.com/event/Bronze-Age
writing	civilization	5200	inline.plan297.life.c_3200_bce.af82a17e41bb	inline.plan297.life.early_writing_systems.40796a41a1e7	inline.plan297.life.early_writing_systems_such_as_mesopotamian_cunei.10b8e3125af5	Britannica: writing	https://www.britannica.com/topic/writing
iron_age	civilization	3200	inline.plan297.life.c_1200_bce.c46f7582314a	inline.plan297.life.iron_age_expansion.4644a1346fc2	inline.plan297.life.widespread_iron_tools_and_weapons_changed_agricu.a8893e4b247c	Britannica: Iron Age	https://www.britannica.com/event/Iron-Age
qin_unification	civilization	2247	inline.plan297.life.221_bce.0c1cb92a4a80	inline.plan297.life.qin_unifies_china.96f98eadf559	inline.plan297.life.the_qin_dynasty_completed_a_major_political_unif.e579146f199d	Britannica: Qin dynasty	https://www.britannica.com/topic/Qin-dynasty
paper	civilization	1921	inline.plan297.life.c_105_ce.d579b9eca006	inline.plan297.life.papermaking_refined.1ba392c0ad4b	inline.plan297.life.traditional_accounts_place_cai_lun_s_papermaking.a710a304813e	Britannica: papermaking	https://www.britannica.com/technology/papermaking
black_death	civilization	679	inline.plan297.life.1347_1351_ce.1f5d640e460e	inline.plan297.life.black_death_across_eurasia_and_north_africa.a70556cb8a72	inline.plan297.life.the_mid_14th_century_plague_pandemic_caused_enor.1e12db430d36	Britannica: Black Death	https://www.britannica.com/event/Black-Death
gutenberg	civilization	576	inline.plan297.life.c_1450_ce.6b23789e9ca4	inline.plan297.life.movable_type_printing_spreads_in_europe.51aa534eb9c2	inline.plan297.life.gutenberg_era_printing_lowered_book_reproduction.e444d4345c3b	Britannica: printing press	https://www.britannica.com/technology/printing-press
newton	science	339	inline.plan297.life.1687_ce.dc8be3138fef	inline.plan297.life.newton_s_principia_published.13319f61403b	inline.plan297.life.newton_systematized_laws_of_motion_and_universal.430748982a46	Britannica: Principia	https://www.britannica.com/topic/Philosophiae-Naturalis-Principia-Mathematica
industrial_revolution	modern	266	inline.plan297.life.from_c_1760_ce.060213656827	inline.plan297.life.industrial_revolution_begins.968024e1ca7d	inline.plan297.life.mechanized_production_fossil_energy_and_factory_.dbff79d41a9a	Britannica: Industrial Revolution	https://www.britannica.com/event/Industrial-Revolution
darwin	science	167	inline.plan297.life.1859_ce.1f611a91fd8b	inline.plan297.life.on_the_origin_of_species_published.01f6749ee8fc	inline.plan297.life.darwin_s_theory_of_natural_selection_became_one_.2415b0a8a0ed	Britannica: On the Origin of Species	https://www.britannica.com/topic/On-the-Origin-of-Species-by-Means-of-Natural-Selection
periodic_table	science	157	inline.plan297.life.1869_ce.37a5348fc0d5	inline.plan297.life.mendeleev_periodic_table.21cba26a5695	inline.plan297.life.mendeleev_arranged_elements_by_atomic_weight_and.1634dfb74a4a	IUPAC Periodic Table	https://iupac.org/what-we-do/periodic-table-of-elements/
un_founded	modern	81	inline.plan297.life.1945_ce.c29d4b3651a1	inline.plan297.life.united_nations_founded.fb41992a5d60	inline.plan297.life.after_world_war_ii_the_united_nations_was_formal.5c5b7a6ba72c	United Nations: History	https://www.un.org/en/about-us/history-of-the-un
dna_double_helix	science	73	inline.plan297.life.1953_ce.8daabed68cf1	inline.plan297.life.dna_double_helix_proposed.a206edea1a73	inline.plan297.life.watson_and_crick_proposed_the_dna_double_helix_m.dcf58f76cefe	Nobel Prize: DNA structure	https://www.nobelprize.org/prizes/medicine/1962/summary/
moon_landing	science	57	inline.plan297.life.1969_ce.58209d5f0570	inline.plan297.life.apollo_11_moon_landing.e4c951f9a1a1	inline.plan297.life.humans_walked_on_the_moon_for_the_first_time.4ffc3353fc40	NASA Apollo 11	https://www.nasa.gov/history/apollo-11/
web	modern	35	inline.plan297.life.1991_ce.8057f820b589	inline.plan297.life.world_wide_web_becomes_publicly_available.a34308c282d7	inline.plan297.life.the_web_combined_hypertext_urls_and_the_internet.1ba6c98ba3c5	CERN: Birth of the Web	https://home.cern/science/computing/birth-web
human_genome	science	23	inline.plan297.life.2003_ce.ce0b724ff07b	inline.plan297.life.human_genome_project_completed.6d8232a172d1	inline.plan297.life.the_human_genome_project_completed_a_major_phase.94e05340cb6e	NIH: Human Genome Project	https://www.genome.gov/human-genome-project
gravitational_waves	science	11	inline.plan297.life.2015_ce.4c5143e3995a	inline.plan297.life.first_direct_detection_of_gravitational_waves.9ac99d71a47d	inline.plan297.life.ligo_directly_detected_gravitational_waves_from_.b4ab5a4c856d	LIGO discovery	https://www.ligo.caltech.edu/page/detection-companion-papers
first_controlled_fire	human	1000000	inline.plan295.life.c_1_million_years_ago.d35b98cbdbdd	inline.plan295.life.early_evidence_for_controlled_fire.31e12b4448f9	inline.plan295.life.fire_changed_warmth_protection_food.9b9b1ecc3a05	Britannica: control of fire	https://www.britannica.com/science/control-of-fire
homo_erectus_spreads	human	1900000	inline.plan295.life.c_1_9_million_years_ago.515b7ecaeb55	inline.plan295.life.homo_erectus_expands.68632f0c5bac	inline.plan295.life.homo_erectus_fossils_and_tools_mark.5f3820922e21	Smithsonian: Homo erectus	https://humanorigins.si.edu/evidence/human-fossils/species/homo-erectus
neanderthals	human	400000	inline.plan295.life.c_400_000_years_ago.d9b4cc0b5653	inline.plan295.life.neanderthals_evolve.21aa17bb5960	inline.plan295.life.neanderthals_left_fossils_tools_and.6082eefdfb4d	Smithsonian: Homo neanderthalensis	https://humanorigins.si.edu/evidence/human-fossils/species/homo-neanderthalensis
out_of_africa_major_dispersal	human	70000	inline.plan295.life.c_70_000_years_ago.6c696798fdf3	inline.plan295.life.major_homo_sapiens_dispersals_beyond.699ff46525cf	inline.plan295.life.genetic_and_archaeological_evidence.eeb63a9179a4	Smithsonian Human Origins Program	https://humanorigins.si.edu/
upper_paleolithic_art	human	40000	inline.plan295.life.c_40_000_years_ago.f0fd17323f71	inline.plan295.life.upper_paleolithic_art_expands.4a3b446c8d8c	inline.plan295.life.cave_paintings_carvings_and_symbolic.ccc43b049f89	Met Heilbrunn Timeline: Paleolithic Art	https://www.metmuseum.org/toah/hd/pale/hd_pale.htm
settlement_gobekli_tepe	civilization	11600	inline.plan295.life.c_9600_bce.5018e1d1d53a	inline.plan295.life.early_monumental_ritual_sites_such_a.e5c90b6a9183	inline.plan295.life.monumental_stone_sites_show_that_set.2b0e91d208c0	UNESCO: Gobekli Tepe	https://whc.unesco.org/en/list/1572/
catalhoyuk	civilization	9400	inline.plan295.life.c_7400_bce.cad560f88b74	inline.plan295.life.catalhoyuk_settlement.e5dc83717dfe	inline.plan295.life.catalhoyuk_is_a_major_neolithic_sett.d637ee1638d5	UNESCO: Catalhoyuk	https://whc.unesco.org/en/list/1405/
pottery_spread	civilization	10000	inline.plan295.life.c_8000_bce.cf46dab0fbb6	inline.plan295.life.pottery_becomes_widespread.a995b3fca9e1	inline.plan295.life.pottery_improved_storage_cooking_and.2919c9259613	Britannica: pottery	https://www.britannica.com/art/pottery
sumerian_city_states	civilization	5200	inline.plan295.life.c_3200_bce.cb9b39a6a0fd	inline.plan295.life.sumerian_city_states_and_urban_civil.64e2d687b883	inline.plan295.life.southern_mesopotamia_developed_city.721c7173f1ef	Britannica: Sumer	https://www.britannica.com/place/Sumer
egypt_unification	civilization	5126	inline.plan295.life.c_3100_bce.0423397dd886	inline.plan295.life.unification_of_ancient_egypt.8a4b0f4e3e53	inline.plan295.life.upper_and_lower_egypt_unified_along.2790f387b547	Met Heilbrunn Timeline: Egypt	https://www.metmuseum.org/toah/hd/egyp/hd_egyp.htm
indus_civilization	civilization	4626	inline.plan295.life.c_2600_bce.f7cfa53fa549	inline.plan295.life.mature_indus_civilization.696af5631900	inline.plan295.life.cities_such_as_harappa_and_mohenjo_d.8c7719991d85	Britannica: Indus civilization	https://www.britannica.com/topic/Indus-civilization
old_babylon_hammurabi	civilization	3776	inline.plan295.life.c_1750_bce.1d20bc69ee35	inline.plan295.life.code_of_hammurabi.d8ee457ead13	inline.plan295.life.the_babylonian_law_code_tradition_sh.4bc693740601	Louvre: Code of Hammurabi	https://www.louvre.fr/en/oeuvre-notices/law-code-hammurabi-king-babylon
shang_dynasty_oracle_bones	civilization	3526	inline.plan295.life.c_1500_bce.1f9ceaff84bc	inline.plan295.life.shang_dynasty_and_oracle_bone_writin.07585c405e91	inline.plan295.life.shang_oracle_bone_inscriptions_are_k.b834f49b4c54	Britannica: Shang dynasty	https://www.britannica.com/topic/Shang-dynasty
olmec_civilization	civilization	3226	inline.plan295.life.c_1200_bce.c86e53a5baee	inline.plan295.life.olmec_civilization_rises.0f5fc8c296d1	inline.plan295.life.the_olmec_were_an_early_complex_soci.f9dc98be527f	Met Heilbrunn Timeline: Olmec	https://www.metmuseum.org/toah/hd/olmc/hd_olmc.htm
zhou_mandate_of_heaven	civilization	3072	inline.plan295.life.1046_bce.c9ee5c188aa4	inline.plan295.life.zhou_replaces_shang_and_mandate_of_h.2aa88d7a7c42	inline.plan295.life.after_the_zhou_replaced_shang_the_ma.ee4fdd608081	Britannica: Zhou dynasty	https://www.britannica.com/topic/Zhou-dynasty
greek_alphabet	civilization	2826	inline.plan295.life.c_800_bce.4e6f3663df60	inline.plan295.life.greek_alphabet_develops.5d8475c82c60	inline.plan295.life.the_greek_alphabet_developed_from_ph.b20b20a8c8fd	Britannica: Greek alphabet	https://www.britannica.com/topic/Greek-alphabet
buddha_life_tradition	civilization	2526	inline.plan295.life.c_5th_century_bce.8c5ec54f9150	inline.plan295.life.buddhist_tradition_forms.3e03dd96c809	inline.plan295.life.teachings_associated_with_the_buddha.597f503f0bbb	Britannica: Buddhism	https://www.britannica.com/topic/Buddhism
confucius	civilization	2505	inline.plan295.life.551_bce.d6db0a5f22c4	inline.plan295.life.birth_of_confucius.109ec4c7c710	inline.plan295.life.confucius_ideas_later_compiled_and_i.29f2c9cd8d3a	Britannica: Confucius	https://www.britannica.com/biography/Confucius
