key,zh,en,ja,de,fr,es,ru
app.bootstrap.catalog_load_failed,无法加载语言资源。请重试。,The language resources could not be loaded. Try again.,言語リソースを読み込めませんでした。もう一度お試しください。,Die Sprachressourcen konnten nicht geladen werden. Versuche es erneut.,Impossible de charger les ressources linguistiques. Réessayez.,No se pudieron cargar los recursos de idioma. Inténtalo de nuevo.,Не удалось загрузить языковые ресурсы. Повторите попытку.
app.bootstrap.retry,重试,Retry,再試行,Erneut versuchen,Réessayer,Reintentar,Повторить
toolbox.crypto.stego.error.audio_pcm_activity_required,当前 WAV/PCM 中可用的非静音样本不足。请换用更长、未压缩且音量变化更丰富的 WAV 文件。,This WAV/PCM file does not have enough usable non-silent samples. Use a longer uncompressed WAV with richer dynamics.,この WAV/PCM ファイルには利用可能な非無音サンプルが不足しています。より長く、ダイナミクスのある非圧縮 WAV を使用してください。,"Diese WAV/PCM-Datei enthält nicht genug nutzbare, nicht stumme Samples. Verwende eine längere unkomprimierte WAV-Datei mit mehr Dynamik.",Ce fichier WAV/PCM n’a pas assez d’échantillons non silencieux utilisables. Utilisez un WAV non compressé plus long avec une dynamique plus riche.,Este WAV/PCM no tiene suficientes muestras no silenciosas utilizables. Usa un WAV sin comprimir más largo y con más dinámica.,В этом WAV/PCM недостаточно пригодных ненулевых сэмплов. Используйте более длинный несжатый WAV с более богатой динамикой.
toolbox.crypto.stego.error.audio_wav_pcm_required,仅支持未压缩的 WAV/PCM 音频文件。,Only uncompressed WAV/PCM audio carriers are supported.,未圧縮 WAV/PCM 音声キャリアのみ対応しています。,Nur unkomprimierte WAV/PCM-Audioträger werden unterstützt.,Seuls les supports audio WAV/PCM non compressés sont pris en charge.,Solo se admiten portadores de audio WAV/PCM sin comprimir.,Поддерживаются только несжатые аудионосители WAV/PCM.
toolbox.crypto.stego.error.video_free_padding_required,当前 MP4/MOV 没有足够的既有 free padding。为避免追加可疑容器数据，请换用保留 padding 的原始视频。,"This MP4/MOV does not have enough existing free padding. To avoid appending suspicious container data, use an original video that retains padding.",この MP4/MOV には十分な既存 free padding がありません。不審なコンテナデータを追加しないため、padding を保持した元動画を使用してください。,"Dieses MP4/MOV enthält nicht genug vorhandenes Free Padding. Um auffällige Containerdaten nicht anzuhängen, verwende ein Originalvideo mit erhaltenem Padding.","Ce MP4/MOV n’a pas assez de free padding existant. Pour éviter d’ajouter des données conteneur suspectes, utilisez une vidéo originale qui conserve le padding.","Este MP4/MOV no tiene suficiente free padding existente. Para evitar añadir datos de contenedor sospechosos, usa un video original que conserve padding.","В этом MP4/MOV недостаточно существующего free padding. Чтобы не добавлять подозрительные контейнерные данные, используйте исходное видео с сохраненным padding."
toolbox.crypto.stego.error.video_mp4_mov_required,仅支持 MP4/MOV 视频文件。,Only MP4/MOV video carriers are supported.,MP4/MOV 動画キャリアのみ対応しています。,Nur MP4/MOV-Videoträger werden unterstützt.,Seuls les supports vidéo MP4/MOV sont pris en charge.,Solo se admiten portadores de video MP4/MOV.,Поддерживаются только видеоносители MP4/MOV.
toolbox.crypto.stego.error.audio_safe_backend_required,该音频格式暂不能安全写入。请使用 WAV/PCM，或带有既有 free padding 的 ISO BMFF 音频。,This audio format cannot be written safely yet. Use WAV/PCM audio or ISO BMFF audio with existing free padding.,この音声形式はまだ安全に書き込めません。WAV/PCM 音声、または既存 free padding を持つ ISO BMFF 音声を使用してください。,Dieses Audioformat kann noch nicht sicher beschrieben werden. Verwende WAV/PCM-Audio oder ISO-BMFF-Audio mit vorhandenem Free Padding.,Ce format audio ne peut pas encore être écrit en sécurité. Utilisez du WAV/PCM ou un audio ISO BMFF avec free padding existant.,Este formato de audio aún no se puede escribir de forma segura. Usa audio WAV/PCM o audio ISO BMFF con free padding existente.,В этот аудиоформат пока нельзя безопасно записывать. Используйте WAV/PCM или аудио ISO BMFF с существующим free padding.
toolbox.crypto.stego.error.audio_compressed_read_only,压缩音频码流暂不能安全写入。请使用 WAV/PCM，或带有既有 free padding 的 ISO BMFF 音频。,Compressed audio bitstreams cannot be written safely. Use WAV/PCM audio or ISO BMFF audio with existing free padding.,圧縮音声ビットストリームには安全に書き込めません。WAV/PCM 音声、または既存 free padding を持つ ISO BMFF 音声を使用してください。,Komprimierte Audio-Bitstreams können nicht sicher beschrieben werden. Verwende WAV/PCM-Audio oder ISO-BMFF-Audio mit vorhandenem Free Padding.,Les flux audio compressés ne peuvent pas être écrits en sécurité. Utilisez du WAV/PCM ou un audio ISO BMFF avec free padding existant.,Los flujos de audio comprimido no se pueden escribir de forma segura. Usa audio WAV/PCM o audio ISO BMFF con free padding existente.,В сжатые аудиопотоки нельзя безопасно записывать. Используйте WAV/PCM или аудио ISO BMFF с существующим free padding.
toolbox.crypto.stego.error.video_iso_bmff_required,该视频格式暂不能安全写入。请使用带有既有 free padding 的 ISO BMFF 视频。,This video format cannot be written safely yet. Use ISO BMFF video with existing free padding.,この動画形式はまだ安全に書き込めません。既存 free padding を持つ ISO BMFF 動画を使用してください。,Dieses Videoformat kann noch nicht sicher beschrieben werden. Verwende ISO-BMFF-Video mit vorhandenem Free Padding.,Ce format vidéo ne peut pas encore être écrit en sécurité. Utilisez une vidéo ISO BMFF avec free padding existant.,Este formato de video aún no se puede escribir de forma segura. Usa video ISO BMFF con free padding existente.,В этот видеоформат пока нельзя безопасно записывать. Используйте видео ISO BMFF с существующим free padding.
toolbox.crypto.stego.error.video_complex_read_only,压缩或复杂视频容器暂不能安全写入。请使用带有既有 free padding 的 ISO BMFF 视频。,Compressed or complex video containers cannot be written safely. Use ISO BMFF video with existing free padding.,圧縮または複雑な動画コンテナには安全に書き込めません。既存 free padding を持つ ISO BMFF 動画を使用してください。,Komprimierte oder komplexe Videocontainer können nicht sicher beschrieben werden. Verwende ISO-BMFF-Video mit vorhandenem Free Padding.,Les conteneurs vidéo compressés ou complexes ne peuvent pas être écrits en sécurité. Utilisez une vidéo ISO BMFF avec free padding existant.,Los contenedores de video comprimidos o complejos no se pueden escribir de forma segura. Usa video ISO BMFF con free padding existente.,В сжатые или сложные видеоконтейнеры нельзя безопасно записывать. Используйте видео ISO BMFF с существующим free padding.
toolbox.crypto.stego.error.iso_bmff_free_padding_required,当前 ISO BMFF 载体没有足够既有 free padding。为避免追加可疑容器数据，请换用保留更大 padding 的原始媒体。,This ISO BMFF carrier does not have enough existing free padding. To avoid appending suspicious container data use original media with larger retained padding.,この ISO BMFF キャリアには十分な既存 free padding がありません。不審なコンテナデータを追加しないため、より大きな padding を保持した元メディアを使用してください。,Dieser ISO-BMFF-Träger enthält nicht genug vorhandenes Free Padding. Um auffällige Containerdaten nicht anzuhängen verwende Originalmedien mit größerem erhaltenem Padding.,Ce support ISO BMFF n’a pas assez de free padding existant. Pour éviter d’ajouter des données conteneur suspectes utilisez un média original avec un padding conservé plus grand.,Este portador ISO BMFF no tiene suficiente free padding existente. Para evitar añadir datos de contenedor sospechosos usa medios originales con más padding conservado.,В этом носителе ISO BMFF недостаточно существующего free padding. Чтобы не добавлять подозрительные контейнерные данные используйте исходный медиафайл с большим сохраненным padding.
addField,新增字段,Add Field,フィールドを追加,Feld hinzufügen,Ajouter un champ,Agregar campo,Добавить поле
addNote,补充注释,Add Note,メモを追加,Notiz hinzufügen,Ajouter une note,Agregar nota,Добавить заметку
addTodo,添加任务,Add task,タスクを追加,Aufgabe hinzufügen,Ajouter une tâche,Agregar tarea,Добавить задачу
addTodoDetails,添加任务详情,Add task details,タスクの詳細を追加,Aufgabendetails hinzufügen,Ajouter les détails de la tâche,Agregar detalles de la tarea,Добавить детали задачи
addTodoHint,添加一个新任务......,Add a new task...,新しいタスクを追加...,Neue Aufgabe hinzufügen...,Ajouter une nouvelle tâche...,Agregar una nueva tarea...,Добавить новую задачу...
addWord,新增单词,Add Word,単語を追加,Wort hinzufügen,Ajouter un mot,Agregar palabra,Добавить слово
addWordTitle,新增单词,Add word,単語を追加,Wort hinzufügen,Ajouter un mot,Agregar palabra,Добавить слово
all,全部,All,すべて,Alle,Tous,Todo,Все
ambientAudio,环境音,Ambient Audio,環境音,Umgebungsgeräusche,Audio ambiant,Audio ambiental,Фоновый звук
ambientCategoryAnimals,动物,Animals,動物,Tiere,Animaux,Animales,Животные
ambientCategoryBinaural,Binaural,Binaural,Binaural,Binaural,Binaural,Binaural,Binaural
ambientCategoryFocus,专注,Focus,集中,Fokus,Concentration,Enfoque,Фокус
ambientCategoryNature,自然,Nature,自然,Natur,Nature,Naturaleza,Природа
ambientCategoryNoise,噪音,Noise,ノイズ,Geräusch,Bruit,Ruido,Шум
ambientCategoryPlaces,地点,Places,場所,Orte,Lieux,Lugares,Места
ambientCategoryRain,雨,Rain,雨,Regen,Pluie,Lluvia,Дождь
ambientCategoryThings,物品,Things,物,Dinge,Objets,Cosas,Вещи
ambientCategoryTransport,交通,Transport,交通,Verkehr,Transport,Transporte,Транспорт
ambientCategoryUrban,城市,Urban,都市,Stadt,Urbain,Urbano,Городской
ambientNameFocusCafe,咖啡馆,Cafe,カフェ,Café,Café,Café,Кафе
ambientNameFocusLibrary,图书馆,Library,図書館,Bibliothek,Bibliothèque,Biblioteca,Библиотека
ambientNameFocusNightVillage,夜村,Night Village,夜の村,Nacht im Dorf,Village nocturne,Aldea nocturna,Ночная деревня
ambientNameNatureFire,篝火,Campfire,キャンプファイヤー,Lagerfeuer,Feu de camp,Fogata,Костер
ambientNameNatureForest,树间的风,Wind in Trees,木々の風,Wind in den Bäumen,Vent dans les arbres,Viento en los árboles,Ветер в деревьях
ambientNameNatureOcean,海浪,Waves,波,Wellen,Vagues,Olas,Волны
ambientNameNatureWind,风,Wind,風,Wind,Vent,Viento,Ветер
ambientNameNoiseBrown,棕色噪音,Brown Noise,ブラウンノイズ,Braunes Rauschen,Bruit brun,Ruido Marrón,Коричневый шум
ambientNameNoisePink,粉红噪音,Pink Noise,ピンクノイズ,Rosa Rauschen,Bruit rose,Ruido Rosa,Розовый шум
ambientNameNoiseWhite,白噪音,White Noise,ホワイトノイズ,Weißes Rauschen,Bruit blanc,Ruido Blanco,Белый шум
ambientNameRainHeavy,大雨,Heavy Rain,豪雨,Starker Regen,Pluie forte,Lluvia Fuerte,Сильный дождь
ambientNameRainLight,小雨,Light Rain,小雨,Leichter Regen,Pluie légère,Lluvia Ligera,Легкий дождь
appearanceBackgroundGradientEnd,背景渐变结束,Background gradient end,背景グラデーションの終了,Hintergrundgradientenende,Fin du dégradé de fond,Fin del degradado de fondo,Конец градиента фона
appearanceBackgroundGradientStart,背景渐变开始,Background gradient start,背景グラデーションの開始,Beginn des Hintergrundgradienten,Début du dégradé de fond,Inicio del degradado de fondo,Начало градиента фона
appearanceBackgroundHint,背景细节将在下一次迭代中完善。,Background details will be refined in the next iteration.,背景の詳細は次の反復で精緻化されます。,Hintergrunddetails werden in der nächsten Iteration verfeinert.,Les détails du fond seront affinés dans la prochaine itération.,Los detalles del fondo se perfeccionarán en la próxima iteración.,Детали фона будут уточнены в следующей итерации.
appearanceBackgroundImage,背景图片,Background image,背景画像,Hintergrundbild,Image de fond,Imagen de fondo,Фоновое изображение
appearanceBackgroundImageClear,清除背景图,Clear image,画像をクリア,Klares Bild,Image claire,Imagen clara,Четкое изображение
appearanceBackgroundImageHint,设置本地文件路径或使用下面的选择器。,Set local file path or use picker below.,ローカルファイルのパスを設定するか、下のピッカーを使用してください。,Setze den lokalen Dateipfad oder benutze unten den Picker.,Définir le chemin de fichier local ou utiliser le sélecteur ci-dessous.,Establecer ruta de archivo local o usar el selector a continuación.,Установите путь к локальному файлу или используйте выбор ниже.
